
Name                                        Length LastWriteTime
----                                        ------ -------------
Test1904262_20260419_164119-protocol.pdf      1907 19.04.2026 16:41:20
Test1904262_20260419_164119-transcript.txt    2227 19.04.2026 16:41:20
Test1904262_20260419_164119-protocol.docx    36828 19.04.2026 16:41:20
Test1904262_20260419_164119-protocol.md        319 19.04.2026 16:41:19
Test_Meeting_20260419_133621-transcript.txt    229 19.04.2026 13:36:23
Test_Meeting_20260419_133621-protocol.pdf     1624 19.04.2026 13:36:23
Test_Meeting_20260419_133621-protocol.docx   36755 19.04.2026 13:36:22
Test_Meeting_20260419_133621-protocol.md       195 19.04.2026 13:36:21
protocol_20260419_132001.md                    677 19.04.2026 13:20:01
Test1904261_20260419_131915-transcript.txt    1267 19.04.2026 13:19:16
Test1904261_20260419_131915-protocol.pdf      2113 19.04.2026 13:19:16
Test1904261_20260419_131915-protocol.docx    36983 19.04.2026 13:19:15
Test1904261_20260419_131915-protocol.md        689 19.04.2026 13:19:15
Test_Meeting_20260419_084654-protocol.pdf     1624 19.04.2026 08:46:54
Test_Meeting_20260419_084654-transcript.txt    229 19.04.2026 08:46:54
Test_Meeting_20260419_084654-protocol.docx   36755 19.04.2026 08:46:54
Test_Meeting_20260419_084654-protocol.md       195 19.04.2026 08:46:54
protocol_20260418_185601.md                    243 18.04.2026 18:56:01
test_20260418_185440-transcript.txt           1477 18.04.2026 18:54:40
test_20260418_185440-protocol.pdf             1659 18.04.2026 18:54:40


